0,1,Year,Language,Rank[a],Title,Production company,Distributor,Worldwide gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
#,Implies that the film is multilingual and the gross collection figure includes the worldwide collection of the other simultaneously filmed version.,2025,hindi,,,,,,,,,,,
,,2025,hindi,1.0,Dhurandhar,Jio StudiosB62 Studios,Jio StudiosPVR Inox Pictures,"₹1,349.65 crore",[1][2],,,,,
,,2025,hindi,2.0,Chhaava,Maddock Films,Pen MarudharYash Raj Films,₹797.34 crore,[3][2],,,,,
,,2025,hindi,3.0,Saiyaara,Yash Raj Films,Yash Raj Films,₹579.23 crore,[4][2],,,,,
,,2025,hindi,4.0,Mahavatar Narsimha[α],Kleem Productions,AA Films,₹326.82 crore,[b],,,,,
,,2025,hindi,5.0,War 2,Yash Raj Films,Yash Raj Films,₹303–351 crore,[10][2][11],,,,,
,,2025,hindi,6.0,Sitaare Zameen Par,Aamir Khan Productions,PVR Inox PicturesAA Films,₹266.49 crore,[12][2],,,,,
,,2025,hindi,7.0,Raid 2,T-Series FilmsPanorama Studios,PVR Inox PicturesPanorama Studios,₹243.06 crore,[13][2],,,,,
,,2025,hindi,8.0,Housefull 5,Nadiadwala Grandson Entertainment,Pen Marudhar,₹242.80–248.80 crore,[14][15][2],,,,,
,,2025,hindi,9.0,Sikandar,Nadiadwala Grandson EntertainmentSalman Khan Films,Pen Marudhar,₹176.18 crore,[16][2],,,,,
,,2025,hindi,10.0,Thamma,Maddock Films,PVR Inox PicturesYash Raj Films,₹169.75 crore,[17][2],,,,,
,,2025,hindi,,The Rabbit House,,,,[18],J A N,3.0,Vaibhav Kulkarni,"Amit RiyaanKarishmaPadmanabh, Gagan PradeepPreeti SharmaSuresh Kumbhar",Geetai Productions
,,2025,hindi,,Fateh,,,,[19],J A N,10.0,Sonu Sood,Sonu SoodNaseeruddin ShahJacqueline Fernandez,"Zee Studios, Shakti Sagar Productions"
,,2025,hindi,,Match Fixing,,,,[20],J A N,10.0,Kedar Gaekwad,Vineet Kumar SinghRaj ArjunShataf FigarAnuja Sathe,Artarena Creations
,,2025,hindi,,Emergency,,,,[21],J A N,17.0,Kangana Ranaut,Kangana RanautAnupam KherShreyas TalpadeMahima ChaudhryMilind SomanSatish Kaushik,"Zee Studios, Manikarnika Films"
